Coil;H12;W12;T5;T12;C;Mn;Si;V6;V7;V8;V9;V10;V11;V12;Sh7;Sh8;Sh9;Sh10;Sh11;Sh12;Ls;dH;P6;P7;P8;P9;P10;P11;P12;Lcamp;dH;R2;Clyn;Caim;Cfact;AntiPeel;Eddr;Edop;Axe;D10bot;D10top;D11bot;D11top;D12bot;D12top
93108;4,9;1513;1080;815;0,16;0,46;0,21;86;132;178;229;282;329;358;-1;-54;-74;-24,99;-65;44;514,159;49;2846;2876;2177;2410;2091;1925;1344;12,222;78;0,95;41;45;56;15;237,64;169,87;-15;772,2;772,7;807,5;807,8;820,65;820,8
93109;4,89;1513;1076;813;0,17;0,44;0,19;82;123;173;227;281;328;359;-1;-51;-74;-7,99;-65;24;514,753;51;2806;2818;2397;2412;1997;1779;1396;12,742;79;0,95;29;45;63;15;229,55;166,41;-17;772,2;772,7;807,5;807,8;820,65;820,8
93110;4,9;1512;1057;817;0,17;0,44;0,19;88;134;184;239;297;347;382;-7;-54;-74;-28;-55;22;514,427;41;2912;2959;2428;2407;1991;1785;1419;13,252;70;0,94;23;45;56;15;235,01;166,21;-18;772,2;772,7;807,5;807,8;820,65;820,8
93111;4,89;1513;1072;814;0,17;0,44;0,19;85;127;178;231;284;329;359;-10;-47;-74;-48;-26;22;514,528;51;2872;2825;2334;2290;2050;1834;1410;13,772;80;0,95;32;45;62;15;223,67;164,46;-17;772,2;772,7;807,5;807,8;820,65;820,8
93112;4,99;1644;1072;824;0,17;0,46;0,19;75;112;155;201;251;295;333;35;-22;-34;-56,99;-45;18;488,764;56;2949;2942;2460;2369;2014;1762;1487;14,28;89;0,97;42;45;66;15;209,5;121,62;-19;772,2;772,7;807,5;807,8;820,65;820,8
93113;5,02;1645;1076;814;0,15;0,44;0,2;63;92;128;168;211;248;275;39;-18;-50;-37;-55;0;484,089;57;2846;2920;2525;2522;2195;1904;1587;14,775;85;0,97;28;45;70;15;249,64;119,7;-20;772,2;772,7;807,5;807,8;820,65;820,8
93114;5,02;1646;1052;818;0,15;0,44;0,2;69;100;140;186;234;278;310;28;-32;-74;-16,99;-45;1;485,867;53;2981;3009;2593;2557;2245;1921;1596;15,254;79;0,96;19;45;66;15;253,57;122,92;-18;772,2;772,7;807,5;807,8;820,65;820,8
93115;5,09;1645;1061;817;0,14;0,43;0,19;67;97;135;180;228;271;299;26;-38;-74;0;-45;0;477,771;55;2806;2900;2477;2472;2194;2001;1558;15,745;84;0,97;18;45;73;15;268,56;132,25;-19;772,2;772,7;807,5;807,8;820,65;820,8
93116;5,04;1645;1062;815;0,14;0,43;0,19;68;98;135;179;225;268;298;22;-43;-74;-20;-45;0;483,16;53;2818;2931;2481;2498;2268;2119;1656;16,216;81;0,96;24;45;67;15;260,87;126,23;-21;772,2;772,7;807,5;807,8;820,65;820,8
93117;5;1646;1072;816;0,14;0,43;0,19;65;94;130;171;216;260;290;20;-43;-74;-40;-45;-7;486,821;55;2741;2855;2426;2447;2240;2105;1638;16,706;83;0,96;23;45;70;15;277,85;121,12;-21;772,2;772,7;807,5;807,8;820,65;820,8
218059;4,52;1419;1058;857;0,037;0,18;0,02;98;143;202;266;338;415;471;-44;-54;-74;-85;-45;53;580,313;32;2138;2088;1700;1705;1559;1538;952;17,193;49;0,81;3;35;44;0;186,62;102,53;-19;772,2;772,7;807,5;807,8;820,65;820,8
