Coil;H12;W12;T5;T12;C;Mn;Si;V6;V7;V8;V9;V10;V11;V12;Sh7;Sh8;Sh9;Sh10;Sh11;Sh12;Ls;dH;P6;P7;P8;P9;P10;P11;P12;Lcamp;dH;R2;Clyn;Caim;Cfact;AntiPeel;Eddr;Edop;Axe;D10bot;D10top;D11bot;D11top;D12bot;D12top
93127;3,49;1184;0;883;0,16;0,43;0,03;108;170;251;348;452;560;647;-25;15;20;24,03;19;43;327,908;36;2085;2137;1635;1651;1251;1131;857;69,481;53;0,95;14;40;45;15;123,56;60,67;-17;772,2;772,7;807,5;807,8;820,65;820,8
536201;2,51;1073;1051;877;0,04;0,12;1,23;70;122;196;290;392;506;597;-25;15;20;24,01;19;43;1016,285;40;2046;2071;1581;1541;1259;1237;960;66,411;53;0,96;20;30;42;15;95,32;57,71;-36;772,2;772,7;807,5;807,8;820,65;820,8
536205;2,5;1034;1050;873;0,03;0,11;1,27;71;125;203;296;396;507;597;4;30;25;49,02;39;64;1059,973;39;1803;1921;1531;1475;1229;1162;898;68,098;53;0,98;16;30;44;15;95,98;60,7;-42;772,2;772,7;807,5;807,8;820,65;820,8
536203;2,54;1033;1048;881;0,03;0,11;1,27;81;142;230;328;437;554;646;4;40;50;64,02;54;74,01;1045,741;39;1758;1946;1536;1371;1209;1149;934;69,809;50;0,98;12;30;43;15;91,76;63,95;-39;772,2;772,7;807,5;807,8;820,65;820,8
536202;2,51;1034;1046;875;0,04;0,12;1,23;81;139;223;317;432;558;663;4;52;50;64,01;54;74;1039,067;43;1861;2128;1683;1578;1382;1408;943;70,87;54;0,97;12;30;47;15;111,92;76,99;-32;772,2;772,7;807,5;807,8;820,65;820,8
536197;2,51;1034;1051;872;0,04;0,12;1,23;82;142;229;328;436;556;670;4;60;70;74,02;64;84;1046,454;45;1886;2099;1711;1470;1388;1412;931;71,893;58;0,97;16;30;49;15;111,41;74,49;-38;772,2;772,7;807,5;807,8;820,65;820,8
536206;2,51;1035;1045;867;0,03;0,13;1,24;87;150;240;339;446;568;674;4;60;70;74,02;64;84;1057,738;47;1758;2015;1658;1486;1362;1393;930;72,955;57;0,98;17;30;48;15;118,12;74,6;-43;772,2;772,7;807,5;807,8;820,65;820,8
536207;2,51;1035;1044;873;0,03;0,13;1,24;87;149;239;336;447;575;683;14;74;85;84,01;74;99;1056,784;45;1784;2025;1651;1471;1348;1363;933;73,999;54;0,97;10;30;47;15;116;75,26;-34;772,2;772,7;807,5;807,8;820,65;820,8
536204;2,51;1034;1051;868;0,03;0,11;1,27;83;143;230;326;436;557;671;14;74;85;84,01;74;99;1058,33;42;1716;2013;1676;1499;1404;1424;930;75,07;51;0,96;5;30;45;15;113,28;86,62;-26;772,2;772,7;807,5;807,8;820,65;820,8
536198;2,51;1034;1050;867;0,03;0,11;1,27;84;146;235;331;440;568;672;14;74;85;84,01;74,01;99;1054,921;43;1693;1950;1660;1455;1393;1424;930;76,113;52;0,97;6;30;47;15;118,08;86,58;-18;772,2;772,7;807,5;807,8;820,65;820,8
536209;2,51;1035;1038;870;0,03;0,12;1,26;89;154;246;346;457;589;697;14;74;85;84,01;74;110;1056,833;44;1741;2015;1676;1466;1368;1398;930;77,183;53;0,97;4;30;50;15;119,34;87,24;-17;772,2;772,7;807,5;807,8;820,65;820,8
536210;2,51;1034;1044;877;0,03;0,12;1,26;86;149;240;337;451;585;695;24;85;95;94,01;84;121;1056,675;46;1879;2064;1671;1414;1363;1370;934;78,226;56;0,97;3;30;53;15;117,51;88,75;-11;772,2;772,7;807,5;807,8;820,65;820,8
536208;2,51;1035;1052;870;0,03;0,13;1,24;83;142;227;321;431;561;665;24;85;105;94;84;121;1057,681;45;1774;2019;1693;1447;1416;1431;917;79,296;57;0,97;10;30;50;15;130,22;86,73;-30;772,2;772,7;807,5;807,8;820,65;820,8
536212;2,51;1036;1034;869;0,03;0,12;1,26;89;153;244;342;454;584;692;24;85;105;94,01;84;121;1053,204;47;1855;2098;1737;1454;1457;1468;933;80,339;56;0,96;2;30;53;15;127,34;96,24;-7;772,2;772,7;807,5;807,8;820,65;820,8
536213;2,5;1035;1041;870;0,03;0,12;1,26;85;146;233;331;447;576;684;24;85;105;94,01;84;121,01;1057,752;45;1740;2002;1656;1407;1400;1414;925;81,407;55;0,96;3;30;51;15;124,9;99,01;-8;772,2;772,7;807,5;807,8;820,65;820,8
536211;2,51;1034;1049;873;0,03;0,12;1,26;83;143;228;324;433;566;674;24;85;105;94,01;84;121;1057,036;45;1823;2096;1720;1435;1445;1468;916;82,452;57;0,97;12;30;51;15;133,03;88,88;-24;772,2;772,7;807,5;807,8;820,65;820,8
536216;2,52;1036;1029;866;0,04;0,12;1,27;89;151;241;337;449;589;699;24;85;105;94,01;84,01;121;1049,049;46;1894;2047;1707;1586;1442;1378;938;83,522;58;0,97;-1;30;54;15;128,53;100,39;-5;772,2;772,7;807,5;807,8;820,65;820,8
536217;2,5;1035;1040;875;0,03;0,14;1,29;83;143;224;324;448;587;693;24;85;105;94,01;84;121;1055,206;47;1927;2089;1625;1658;1434;1298;968;84,558;58;0,97;14;30;50;15;140,06;83,1;-32;772,2;772,7;807,5;807,8;820,65;820,8
536214;2,51;1035;1048;872;0,04;0,12;1,27;84;143;224;321;438;568;667;39;95;105;104,01;94;132;1056,703;45;1916;2096;1625;1678;1491;1345;968;85,626;56;0,96;7;30;51;15;146,5;90,62;-28;772,2;772,7;807,5;807,8;820,65;820,8
536199;2,51;1036;1039;865;0,03;0,13;1,24;86;147;230;329;447;578;683;39;95;111;104,01;94;132;1053,994;46;1845;2051;1598;1685;1474;1333;969;86,668;56;0,96;0;30;53;15;141,96;105,42;-10;772,2;772,7;807,5;807,8;820,65;820,8
536219;2,5;1036;1026;869;0,03;0,14;1,29;90;154;242;347;472;607;714;39;95;111;104,01;94;132;1054,559;45;1824;2060;1603;1662;1461;1334;971;87,737;55;0,96;0;30;52;15;138,24;111,36;-4;772,2;772,7;807,5;807,8;820,65;820,8
536220;2,5;1036;1036;874;0,03;0,13;1,27;84;145;229;330;457;594;703;39;95;111;104,01;94;132;1054,443;46;1874;2085;1610;1680;1463;1326;969;88,792;57;0,96;10;30;52;15;152,71;93,75;-22;772,2;772,7;807,5;807,8;820,65;820,8
536218;2,51;1036;1045;871;0,03;0,14;1,29;87;147;231;330;446;575;675;59;105;111;114,02;104;142;1053,255;46;1881;2106;1633;1681;1529;1389;968;89,846;57;0,95;8;30;51;15;159,72;104,43;-24;772,2;772,7;807,5;807,8;820,65;820,8
536200;2,51;1036;1041;867;0,03;0,12;1,26;86;148;231;330;448;580;683;59;105;111;114,01;104;142;1055,247;47;1806;2001;1552;1643;1484;1334;953;90,885;56;0,96;2;30;52;15;155,77;102,62;-18;772,2;772,7;807,5;807,8;820,65;820,8
536222;2,5;1036;1035;867;0,03;0,13;1,27;86;146;229;329;452;589;699;59;105;111;114,02;104;142;1057,26;47;1771;2016;1573;1637;1511;1341;962;91,955;57;0,96;6;30;52;15;156,35;103,68;-15;772,2;772,7;807,5;807,8;820,65;820,8
536223;2,5;1036;1038;873;0,03;0,13;1,27;87;149;232;332;455;589;703;59;105;111;114,02;104;142;1058,122;47;1772;1990;1562;1631;1480;1325;961;93,01;62;0,96;15;30;53;15;167,25;91,9;-30;772,2;772,7;807,5;807,8;820,65;820,8
536221;2,51;1036;1044;873;0,03;0,13;1,27;85;145;227;325;448;583;687;59;105;111;114,01;104;142;1055,752;46;1928;2143;1648;1658;1525;1386;961;94,07;56;0,95;7;30;51;15;164,08;111,45;-19;772,2;772,7;807,5;807,8;820,65;820,8
536215;2,51;1036;1051;871;0,04;0,12;1,27;85;146;227;323;435;557;664;59;105;111;114,02;104;142;1051,425;49;1949;2067;1584;1620;1519;1358;967;95,111;63;0,96;11;30;56;15;161,62;106,34;-21;772,2;772,7;807,5;807,8;820,65;820,8
